N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,2.0,11.732851621374003,12,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.22078773379325867,0.06035739555954933,0.19931602478027344
100,2.0,11.732851621374003,13,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.21877099573612213,0.02319234609603882,0.18938277661800385
100,2.0,11.732851621374003,13,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.24932880699634552,0.0462394542992115,0.19678406417369843
100,2.0,11.732851621374003,14,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20815858244895935,0.021992327645421028,0.17877034842967987
100,2.0,11.732851621374003,14,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.20454539358615875,0.11444050073623657,0.17284756898880005
100,2.0,11.732851621374003,15,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.1918317824602127,0.017592256888747215,0.19428080320358276
100,2.0,11.732851621374003,15,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.1907026767730713,0.11118880659341812,0.18833544850349426
100,2.0,11.732851621374003,16,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19264812767505646,0.021192314103245735,0.1934644728899002
100,2.0,11.732851621374003,16,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.1660880148410797,0.12380614876747131,0.19152548909187317
100,2.0,11.732851621374003,17,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19754616916179657,0.024392366409301758,0.1885664314031601
100,2.0,11.732851621374003,17,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.20005112886428833,0.11948633193969727,0.17663124203681946
100,2.0,11.732851621374003,18,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20326054096221924,0.019992295652627945,0.18775008618831635
100,2.0,11.732851621374003,18,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.20205742120742798,0.04564175754785538,0.22914984822273254
100,2.0,11.732851621374003,19,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.18448473513126373,0.015192218124866486,0.19264812767505646
100,2.0,11.732851621374003,19,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.20667745172977448,0.04450511932373047,0.2043159157037735
100,5.0,4.150006096013556,0,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20218458771705627,0.014531380496919155,0.21987658739089966
100,5.0,4.150006096013556,0,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.2531031668186188,0.05006660521030426,0.2174314707517624
100,5.0,4.150006096013556,1,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19375981390476227,0.024026090279221535,0.20555448532104492
100,5.0,4.150006096013556,1,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.21503035724163055,0.1252412647008896,0.1645333170890808
100,5.0,4.150006096013556,2,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.21313677728176117,0.0178338885307312,0.20639696717262268
100,5.0,4.150006096013556,2,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.23826821148395538,0.039510227739810944,0.2478019744157791
100,5.0,4.150006096013556,3,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19524654746055603,0.01784743368625641,0.22707274556159973
100,5.0,4.150006096013556,3,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.1980629414319992,0.14065903425216675,0.21390950679779053
100,5.0,4.150006096013556,4,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.10699325799942017,0.0,0.0
100,5.0,4.150006096013556,4,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.20062807202339172,0.08588438481092453,0.20825427770614624
100,5.0,4.150006096013556,5,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19038991630077362,0.0178338885307312,0.19460229575634003
100,5.0,4.150006096013556,5,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.22316378355026245,0.08117598295211792,0.22608572244644165
100,5.0,4.150006096013556,6,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19797219336032867,0.019897956401109695,0.21145182847976685
100,5.0,4.150006096013556,6,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.20610949397087097,0.13413769006729126,0.17844504117965698
100,5.0,4.150006096013556,7,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.1996571570634842,0.019072329625487328,0.21397924423217773
100,5.0,4.150006096013556,7,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.24490630626678467,0.08014331012964249,0.24605071544647217
100,5.0,4.150006096013556,8,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.0,0.0,0.10386587679386139
100,5.0,4.150006096013556,8,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.16059185564517975,0.13157056272029877,0.2774493396282196
100,5.0,4.150006096013556,9,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.2106093466281891,0.017421074211597443,0.20639696717262268
100,5.0,4.150006096013556,9,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.24334606528282166,0.076275534927845,0.22345726191997528
100,5.0,4.150006096013556,10,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19460229575634003,0.019485142081975937,0.20302705466747284
