N,sigma,epsilon,delta,method,rep,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.21513119339942932,0.028254911303520203,0.23690548539161682
100,1.0,5.635918426327381,1e-05,gaussian,0,0.2,0.02,0.2,0.21282340586185455,0.016040053218603134,0.19439715147018433
100,1.0,5.635918426327381,1e-05,edge_flip,0,0.2,0.02,0.2,0.20771795511245728,0.014548715204000473,0.1970297247171402
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.2115016132593155,0.03351923078298569,0.2054644674062729
100,1.0,5.635918426327381,1e-05,gaussian,1,0.2,0.02,0.2,0.21146485209465027,0.01672937721014023,0.22010478377342224
100,1.0,5.635918426327381,1e-05,edge_flip,1,0.2,0.02,0.2,0.20854012668132782,0.018174491822719574,0.22169487178325653
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.17814870178699493,0.030839625746011734,0.22307929396629333
100,1.0,5.635918426327381,1e-05,gaussian,2,0.2,0.02,0.2,0.17575281858444214,0.02153155766427517,0.19671398401260376
100,1.0,5.635918426327381,1e-05,edge_flip,2,0.2,0.02,0.2,0.17894195020198822,0.020591676235198975,0.1970297247171402
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.22603800892829895,0.035462312400341034,0.21124067902565002
100,1.0,5.635918426327381,1e-05,gaussian,3,0.2,0.02,0.2,0.19505921006202698,0.018657730892300606,0.20161911845207214
100,1.0,5.635918426327381,1e-05,edge_flip,3,0.2,0.02,0.2,0.1986740678548813,0.016965899616479874,0.20114058256149292
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.1955765038728714,0.03182468190789223,0.20921334624290466
100,1.0,5.635918426327381,1e-05,gaussian,4,0.2,0.02,0.2,0.16548748314380646,0.020395366474986076,0.1959921419620514
100,1.0,5.635918426327381,1e-05,edge_flip,4,0.2,0.02,0.2,0.1690758913755417,0.018174491822719574,0.1970297247171402
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.22599636018276215,0.04045039042830467,0.19550234079360962
100,1.0,5.635918426327381,1e-05,gaussian,5,0.2,0.02,0.2,0.20477396249771118,0.017484189942479134,0.18849581480026245
100,1.0,5.635918426327381,1e-05,edge_flip,5,0.2,0.02,0.2,0.20525144040584564,0.018174491822719574,0.1896301805973053
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.17649073898792267,0.04519723355770111,0.20241613686084747
100,1.0,5.635918426327381,1e-05,gaussian,6,0.2,0.02,0.2,0.2054765522480011,0.022180655971169472,0.20130784809589386
100,1.0,5.635918426327381,1e-05,edge_flip,6,0.2,0.02,0.2,0.20771795511245728,0.02099454030394554,0.20525144040584564
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.242606982588768,0.019952379167079926,0.2537660002708435
100,1.0,5.635918426327381,1e-05,gaussian,7,0.2,0.02,0.2,0.21357332170009613,0.01710466668009758,0.22627702355384827
100,1.0,5.635918426327381,1e-05,edge_flip,7,0.2,0.02,0.2,0.2175840139389038,0.016965899616479874,0.22580572962760925
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.18972043693065643,0.03801333159208298,0.1985461562871933
100,1.0,5.635918426327381,1e-05,gaussian,8,0.2,0.02,0.2,0.20176008343696594,0.02028609625995159,0.1737910658121109
100,1.0,5.635918426327381,1e-05,edge_flip,8,0.2,0.02,0.2,0.20114058256149292,0.020188812166452408,0.17072023451328278
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,9,0.2,0.02,0.2,0.20914848148822784,0.07146480679512024,0.1950918585062027
100,1.0,5.635918426327381,1e-05,gaussian,9,0.2,0.02,0.2,0.2136896401643753,0.02328331582248211,0.18906112015247345
100,1.0,5.635918426327381,1e-05,edge_flip,9,0.2,0.02,0.2,0.21182881295681,0.023008862510323524,0.1896301805973053
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,10,0.2,0.02,0.2,0.1873241662979126,0.0647396594285965,0.20260289311408997
100,1.0,5.635918426327381,1e-05,gaussian,10,0.2,0.02,0.2,0.18627071380615234,0.02058992348611355,0.18992246687412262
100,1.0,5.635918426327381,1e-05,edge_flip,10,0.2,0.02,0.2,0.18880800902843475,0.024217454716563225,0.18880800902843475
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,11,0.2,0.02,0.2,0.20354123413562775,0.03013012371957302,0.18615548312664032
100,1.0,5.635918426327381,1e-05,gaussian,11,0.2,0.02,0.2,0.20065653324127197,0.020504673942923546,0.20433391630649567
100,1.0,5.635918426327381,1e-05,edge_flip,11,0.2,0.02,0.2,0.20525144040584564,0.020591676235198975,0.20360709726810455
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,12,0.2,0.02,0.2,0.22920438647270203,0.04361782595515251,0.231842502951622
100,1.0,5.635918426327381,1e-05,gaussian,12,0.2,0.02,0.2,0.19553597271442413,0.01720396988093853,0.2183661311864853
100,1.0,5.635918426327381,1e-05,edge_flip,12,0.2,0.02,0.2,0.1953853815793991,0.01736876368522644,0.21593967080116272
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,13,0.2,0.02,0.2,0.17766745388507843,0.04091170057654381,0.24269889295101166
100,1.0,5.635918426327381,1e-05,gaussian,13,0.2,0.02,0.2,0.19001121819019318,0.02487974241375923,0.19813932478427887
100,1.0,5.635918426327381,1e-05,edge_flip,13,0.2,0.02,0.2,0.18880800902843475,0.024217454716563225,0.19785189628601074
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,14,0.2,0.02,0.2,0.22946365177631378,0.025111200287938118,0.19036264717578888
100,1.0,5.635918426327381,1e-05,gaussian,14,0.2,0.02,0.2,0.2179049849510193,0.015413656830787659,0.1947653591632843
100,1.0,5.635918426327381,1e-05,edge_flip,14,0.2,0.02,0.2,0.21676184237003326,0.01495157927274704,0.19374103844165802
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,15,0.2,0.02,0.2,0.22293098270893097,0.03314635902643204,0.19938117265701294
100,1.0,5.635918426327381,1e-05,gaussian,15,0.2,0.02,0.2,0.20504939556121826,0.01929319277405739,0.18901346623897552
100,1.0,5.635918426327381,1e-05,edge_flip,15,0.2,0.02,0.2,0.20360709726810455,0.018980219960212708,0.19209669530391693
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,16,0.2,0.02,0.2,0.20578882098197937,0.017308181151747704,0.20556014776229858
100,1.0,5.635918426327381,1e-05,gaussian,16,0.2,0.02,0.2,0.2081596553325653,0.017466885969042778,0.20330806076526642
100,1.0,5.635918426327381,1e-05,edge_flip,16,0.2,0.02,0.2,0.20360709726810455,0.01736876368522644,0.20196275413036346
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,17,0.2,0.02,0.2,0.2195320576429367,0.04084872081875801,0.20562411844730377
100,1.0,5.635918426327381,1e-05,gaussian,17,0.2,0.02,0.2,0.19964218139648438,0.02423880621790886,0.20400165021419525
100,1.0,5.635918426327381,1e-05,edge_flip,17,0.2,0.02,0.2,0.1970297247171402,0.021800270304083824,0.2060736119747162
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,18,0.2,0.02,0.2,0.20265699923038483,0.04050762951374054,0.21313445270061493
100,1.0,5.635918426327381,1e-05,gaussian,18,0.2,0.02,0.2,0.19307765364646912,0.022176893427968025,0.2010171115398407
100,1.0,5.635918426327381,1e-05,edge_flip,18,0.2,0.02,0.2,0.1879858374595642,0.02099454030394554,0.19785189628601074
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,19,0.2,0.02,0.2,0.2316671907901764,0.04556286334991455,0.20951654016971588
100,1.0,5.635918426327381,1e-05,gaussian,19,0.2,0.02,0.2,0.2109469473361969,0.018292773514986038,0.19024769961833954
100,1.0,5.635918426327381,1e-05,edge_flip,19,0.2,0.02,0.2,0.20854012668132782,0.01736876368522644,0.19045235216617584
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.21110276877880096,0.06444527208805084,0.21739988029003143
100,2.0,2.668102829441137,1e-05,gaussian,0,0.2,0.02,0.2,0.19477365911006927,0.02343345619738102,0.1975446343421936
100,2.0,2.668102829441137,1e-05,edge_flip,0,0.2,0.02,0.2,0.1965402215719223,0.023807357996702194,0.2002924382686615
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.1991502344608307,0.025331681594252586,0.2360805869102478
100,2.0,2.668102829441137,1e-05,gaussian,1,0.2,0.02,0.2,0.1820894330739975,0.01967848837375641,0.21021457016468048
100,2.0,2.668102829441137,1e-05,edge_flip,1,0.2,0.02,0.2,0.1843455582857132,0.013695158995687962,0.2303100973367691
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.20409056544303894,0.03778352960944176,0.24301297962665558
100,2.0,2.668102829441137,1e-05,gaussian,2,0.2,0.02,0.2,0.19957315921783447,0.018535852432250977,0.21233750879764557
100,2.0,2.668102829441137,1e-05,edge_flip,2,0.2,0.02,0.2,0.1965402215719223,0.022428421303629875,0.2087348997592926
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.26334449648857117,0.029372232034802437,0.16399838030338287
100,2.0,2.668102829441137,1e-05,gaussian,3,0.2,0.02,0.2,0.19929304718971252,0.019988175481557846,0.17850251495838165
100,2.0,2.668102829441137,1e-05,edge_flip,3,0.2,0.02,0.2,0.1984163224697113,0.02334771305322647,0.1599562019109726
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.20677855610847473,0.04588214308023453,0.20834581553936005
100,2.0,2.668102829441137,1e-05,gaussian,4,0.2,0.02,0.2,0.20754267275333405,0.018825961276888847,0.19042447209358215
100,2.0,2.668102829441137,1e-05,edge_flip,4,0.2,0.02,0.2,0.2049826979637146,0.022428421303629875,0.1956021785736084
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.23870858550071716,0.039702970534563065,0.19293063879013062
100,2.0,2.668102829441137,1e-05,gaussian,5,0.2,0.02,0.2,0.23991771042346954,0.019633062183856964,0.1776532679796219
100,2.0,2.668102829441137,1e-05,edge_flip,5,0.2,0.02,0.2,0.2265578806400299,0.012316222302615643,0.1721508800983429
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.28579869866371155,0.054927002638578415,0.2550697922706604
100,2.0,2.668102829441137,1e-05,gaussian,6,0.2,0.02,0.2,0.20884361863136292,0.019296729937195778,0.20793159306049347
100,2.0,2.668102829441137,1e-05,edge_flip,6,0.2,0.02,0.2,0.2021685391664505,0.020589839667081833,0.2199915200471878
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.25106754899024963,0.035723842680454254,0.2059180736541748
100,2.0,2.668102829441137,1e-05,gaussian,7,0.2,0.02,0.2,0.19991366565227509,0.017086677253246307,0.21306805312633514
100,2.0,2.668102829441137,1e-05,edge_flip,7,0.2,0.02,0.2,0.1965402215719223,0.01277586817741394,0.2012304812669754
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.25657525658607483,0.04578482732176781,0.23430171608924866
100,2.0,2.668102829441137,1e-05,gaussian,8,0.2,0.02,0.2,0.20873695611953735,0.012573843821883202,0.2118200659751892
100,2.0,2.668102829441137,1e-05,edge_flip,8,0.2,0.02,0.2,0.2106110006570816,0.020589839667081833,0.2190534770488739
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,9,0.2,0.02,0.2,0.21387670934200287,0.05570938065648079,0.20443223416805267
100,2.0,2.668102829441137,1e-05,gaussian,9,0.2,0.02,0.2,0.20960721373558044,0.022763065993785858,0.2023162841796875
100,2.0,2.668102829441137,1e-05,edge_flip,9,0.2,0.02,0.2,0.2284339815378189,0.025645939633250237,0.2049826979637146
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,10,0.2,0.02,0.2,0.23910747468471527,0.02634762041270733,0.2963504195213318
100,2.0,2.668102829441137,1e-05,gaussian,10,0.2,0.02,0.2,0.21058741211891174,0.022171294316649437,0.2164023220539093
100,2.0,2.668102829441137,1e-05,edge_flip,10,0.2,0.02,0.2,0.2002924382686615,0.027024876326322556,0.2321861982345581
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,11,0.2,0.02,0.2,0.1861312985420227,0.026198703795671463,0.18005293607711792
100,2.0,2.668102829441137,1e-05,gaussian,11,0.2,0.02,0.2,0.19641834497451782,0.020176680758595467,0.1952487975358963
100,2.0,2.668102829441137,1e-05,edge_flip,11,0.2,0.02,0.2,0.2059207409620285,0.027024876326322556,0.1965402215719223
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,12,0.2,0.02,0.2,0.21245074272155762,0.027844861149787903,0.2203715294599533
100,2.0,2.668102829441137,1e-05,gaussian,12,0.2,0.02,0.2,0.18635086715221405,0.02020113728940487,0.20039992034435272
100,2.0,2.668102829441137,1e-05,edge_flip,12,0.2,0.02,0.2,0.1984163224697113,0.026565229520201683,0.1984163224697113
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,13,0.2,0.02,0.2,0.23997822403907776,0.026703719049692154,0.20347987115383148
100,2.0,2.668102829441137,1e-05,gaussian,13,0.2,0.02,0.2,0.20990218222141266,0.018468694761395454,0.19946905970573425
100,2.0,2.668102829441137,1e-05,edge_flip,13,0.2,0.02,0.2,0.2181154191493988,0.02472664788365364,0.2106110006570816
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,14,0.2,0.02,0.2,0.17678095400333405,0.04457985609769821,0.1798110157251358
100,2.0,2.668102829441137,1e-05,gaussian,14,0.2,0.02,0.2,0.1908147782087326,0.016909971833229065,0.1872040331363678
100,2.0,2.668102829441137,1e-05,edge_flip,14,0.2,0.02,0.2,0.1965402215719223,0.02150913141667843,0.1815313994884491
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,15,0.2,0.02,0.2,0.26440760493278503,0.043232452124357224,0.26322779059410095
100,2.0,2.668102829441137,1e-05,gaussian,15,0.2,0.02,0.2,0.21013511717319489,0.021363254636526108,0.20746898651123047
100,2.0,2.668102829441137,1e-05,edge_flip,15,0.2,0.02,0.2,0.2143632173538208,0.02472664788365364,0.1937260627746582
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,16,0.2,0.02,0.2,0.28719428181648254,0.07851219177246094,0.27555036544799805
100,2.0,2.668102829441137,1e-05,gaussian,16,0.2,0.02,0.2,0.1929028183221817,0.025478417053818703,0.20946641266345978
100,2.0,2.668102829441137,1e-05,edge_flip,16,0.2,0.02,0.2,0.2002924382686615,0.0228880662471056,0.2087348997592926
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,17,0.2,0.02,0.2,0.17630460858345032,0.04725255072116852,0.2319122552871704
100,2.0,2.668102829441137,1e-05,gaussian,17,0.2,0.02,0.2,0.20008762180805206,0.023583706468343735,0.19225050508975983
100,2.0,2.668102829441137,1e-05,edge_flip,17,0.2,0.02,0.2,0.2106110006570816,0.01875125803053379,0.2040446400642395
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,18,0.2,0.02,0.2,0.19397959113121033,0.039042454212903976,0.2619640827178955
100,2.0,2.668102829441137,1e-05,gaussian,18,0.2,0.02,0.2,0.18412025272846222,0.018316850066184998,0.16540266573429108
100,2.0,2.668102829441137,1e-05,edge_flip,18,0.2,0.02,0.2,0.1843455582857132,0.028403811156749725,0.1702747792005539
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,19,0.2,0.02,0.2,0.24876053631305695,0.03420156240463257,0.1705837845802307
100,2.0,2.668102829441137,1e-05,gaussian,19,0.2,0.02,0.2,0.1930874139070511,0.023017611354589462,0.176528662443161
100,2.0,2.668102829441137,1e-05,edge_flip,19,0.2,0.02,0.2,0.1909119188785553,0.025186294689774513,0.2040446400642395
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.25496846437454224,0.04951097071170807,0.26806506514549255
100,5.0,1.0338953100711687,1e-05,gaussian,0,0.2,0.02,0.2,0.18579210340976715,0.014000474475324154,0.19218389689922333
100,5.0,1.0338953100711687,1e-05,edge_flip,0,0.2,0.02,0.2,0.20890915393829346,0.0,0.18658360838890076
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.16693226993083954,0.062223728746175766,0.2273625135421753
100,5.0,1.0338953100711687,1e-05,gaussian,1,0.2,0.02,0.2,0.23181061446666718,0.025233693420886993,0.17262764275074005
100,5.0,1.0338953100711687,1e-05,edge_flip,1,0.2,0.02,0.2,0.17799685895442963,0.02791762538254261,0.16254070401191711
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.2767076790332794,0.02628309465944767,0.15259282290935516
100,5.0,1.0338953100711687,1e-05,gaussian,2,0.2,0.02,0.2,0.20186206698417664,0.015559985302388668,0.1991041600704193
100,5.0,1.0338953100711687,1e-05,edge_flip,2,0.2,0.02,0.2,0.20032240450382233,0.0,0.22608265280723572
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.2584732174873352,0.043111056089401245,0.3279446065425873
100,5.0,1.0338953100711687,1e-05,gaussian,3,0.2,0.02,0.2,0.18572679162025452,0.027562353760004044,0.1802392601966858
100,5.0,1.0338953100711687,1e-05,edge_flip,3,0.2,0.02,0.2,0.20375710725784302,0.009404591284692287,0.18314890563488007
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.3368358314037323,0.05014433711767197,0.1643952578306198
100,5.0,1.0338953100711687,1e-05,gaussian,4,0.2,0.02,0.2,0.2204039841890335,0.01598677970468998,0.2091062068939209
100,5.0,1.0338953100711687,1e-05,edge_flip,4,0.2,0.02,0.2,0.2295173555612564,0.03464963659644127,0.19345299899578094
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.21560348570346832,0.07550958544015884,0.18511292338371277
100,5.0,1.0338953100711687,1e-05,gaussian,5,0.2,0.02,0.2,0.18689462542533875,0.019106827676296234,0.2048395574092865
100,5.0,1.0338953100711687,1e-05,edge_flip,5,0.2,0.02,0.2,0.19688770174980164,0.0,0.20203974843025208
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.17159196734428406,0.03479951620101929,0.20464883744716644
100,5.0,1.0338953100711687,1e-05,gaussian,6,0.2,0.02,0.2,0.17265698313713074,0.011015615426003933,0.19298771023750305
100,5.0,1.0338953100711687,1e-05,edge_flip,6,0.2,0.02,0.2,0.16769275069236755,0.027076123282313347,0.2484082132577896
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.24878434836864471,0.0722867026925087,0.1937115341424942
100,5.0,1.0338953100711687,1e-05,gaussian,7,0.2,0.02,0.2,0.18380862474441528,0.02489469014108181,0.1960846185684204
100,5.0,1.0338953100711687,1e-05,edge_flip,7,0.2,0.02,0.2,0.15223659574985504,0.031283631920814514,0.2071918100118637
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.30926263332366943,0.03866497799754143,0.18455733358860016
100,5.0,1.0338953100711687,1e-05,gaussian,8,0.2,0.02,0.2,0.20043887197971344,0.025472179055213928,0.22562885284423828
100,5.0,1.0338953100711687,1e-05,edge_flip,8,0.2,0.02,0.2,0.22093060612678528,0.015295102261006832,0.17971420288085938
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,9,0.2,0.02,0.2,0.1661202758550644,0.05991314724087715,0.22503994405269623
100,5.0,1.0338953100711687,1e-05,gaussian,9,0.2,0.02,0.2,0.19818046689033508,0.016191666945815086,0.1876557171344757
100,5.0,1.0338953100711687,1e-05,edge_flip,9,0.2,0.02,0.2,0.1883009523153305,0.01866110786795616,0.23123469948768616
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,10,0.2,0.02,0.2,0.1865949183702469,0.03227130323648453,0.32501062750816345
100,5.0,1.0338953100711687,1e-05,gaussian,10,0.2,0.02,0.2,0.17947237193584442,0.021014219149947166,0.19514808058738708
100,5.0,1.0338953100711687,1e-05,edge_flip,10,0.2,0.02,0.2,0.18314890563488007,0.0,0.13678045570850372
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,11,0.2,0.02,0.2,0.22327935695648193,0.02577359974384308,0.3132181167602539
100,5.0,1.0338953100711687,1e-05,gaussian,11,0.2,0.02,0.2,0.21253983676433563,0.009416359476745129,0.19587959349155426
100,5.0,1.0338953100711687,1e-05,edge_flip,11,0.2,0.02,0.2,0.1951703578233719,0.027076123282313347,0.1883009523153305
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,12,0.2,0.02,0.2,0.27611884474754333,0.04536501318216324,0.17865538597106934
100,5.0,1.0338953100711687,1e-05,gaussian,12,0.2,0.02,0.2,0.1961095631122589,0.02648196369409561,0.16580459475517273
100,5.0,1.0338953100711687,1e-05,edge_flip,12,0.2,0.02,0.2,0.15395395457744598,0.021185612305998802,0.17456215620040894
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,13,0.2,0.02,0.2,0.11543022841215134,0.09081819653511047,0.2551732361316681
100,5.0,1.0338953100711687,1e-05,gaussian,13,0.2,0.02,0.2,0.18688909709453583,0.018803199753165245,0.19318333268165588
100,5.0,1.0338953100711687,1e-05,edge_flip,13,0.2,0.02,0.2,0.20375710725784302,0.0077215880155563354,0.21234385669231415
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,14,0.2,0.02,0.2,0.34597793221473694,0.022792592644691467,0.2482481598854065
100,5.0,1.0338953100711687,1e-05,gaussian,14,0.2,0.02,0.2,0.1862305998802185,0.024105552583932877,0.2240365892648697
100,5.0,1.0338953100711687,1e-05,edge_flip,14,0.2,0.02,0.2,0.17627950012683868,0.01361209899187088,0.17799685895442963
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,15,0.2,0.02,0.2,0.23408840596675873,0.07276661694049835,0.2331191748380661
100,5.0,1.0338953100711687,1e-05,gaussian,15,0.2,0.02,0.2,0.1879374235868454,0.02805127389729023,0.1679481714963913
100,5.0,1.0338953100711687,1e-05,edge_flip,15,0.2,0.02,0.2,0.16769275069236755,0.014453601092100143,0.19001829624176025
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,16,0.2,0.02,0.2,0.37079304456710815,0.03226539492607117,0.29289510846138
100,5.0,1.0338953100711687,1e-05,gaussian,16,0.2,0.02,0.2,0.18172650039196014,0.022702094167470932,0.18116188049316406
100,5.0,1.0338953100711687,1e-05,edge_flip,16,0.2,0.02,0.2,0.20032240450382233,0.0,0.22436530888080597
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,17,0.2,0.02,0.2,0.1704195886850357,0.0297361109405756,0.26998379826545715
100,5.0,1.0338953100711687,1e-05,gaussian,17,0.2,0.02,0.2,0.20196428894996643,0.017890099436044693,0.20110784471035004
100,5.0,1.0338953100711687,1e-05,edge_flip,17,0.2,0.02,0.2,0.2140612006187439,0.0077215880155563354,0.22780001163482666
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,18,0.2,0.02,0.2,0.29182708263397217,0.06444820761680603,0.2722512185573578
100,5.0,1.0338953100711687,1e-05,gaussian,18,0.2,0.02,0.2,0.1809440404176712,0.017439596354961395,0.20343391597270966
100,5.0,1.0338953100711687,1e-05,edge_flip,18,0.2,0.02,0.2,0.2071918100118637,0.014453601092100143,0.12991105020046234
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,19,0.2,0.02,0.2,0.272670716047287,0.05285562947392464,0.3086718022823334
100,5.0,1.0338953100711687,1e-05,gaussian,19,0.2,0.02,0.2,0.21346202492713928,0.018405873328447342,0.2169925421476364
100,5.0,1.0338953100711687,1e-05,edge_flip,19,0.2,0.02,0.2,0.22780001163482666,0.010246092453598976,0.2776031494140625
100,10.0,0.5431122541136532,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.2754857838153839,0.06645429134368896,0.17838215827941895
100,10.0,0.5431122541136532,1e-05,gaussian,0,0.2,0.02,0.2,0.21481013298034668,0.0030117882415652275,0.1890168935060501
100,10.0,0.5431122541136532,1e-05,edge_flip,0,0.2,0.02,0.2,0.16585925221443176,0.04276611655950546,0.28288552165031433
100,10.0,0.5431122541136532,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.2940990924835205,0.06714016944169998,0.21155323088169098
100,10.0,0.5431122541136532,1e-05,gaussian,1,0.2,0.02,0.2,0.21696361899375916,0.007385467644780874,0.1415722370147705
100,10.0,0.5431122541136532,1e-05,edge_flip,1,0.2,0.02,0.2,0.31060224771499634,0.009567618370056152,0.19049635529518127
100,10.0,0.5431122541136532,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.1840442717075348,0.04507393017411232,0.300636887550354
100,10.0,0.5431122541136532,1e-05,gaussian,2,0.2,0.02,0.2,0.18253229558467865,0.020076071843504906,0.20869916677474976
100,10.0,0.5431122541136532,1e-05,edge_flip,2,0.2,0.02,0.2,0.2058945596218109,0.033711981028318405,0.2982836961746216
100,10.0,0.5431122541136532,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.2556324303150177,0.03397610783576965,0.17658166587352753
100,10.0,0.5431122541136532,1e-05,gaussian,3,0.2,0.02,0.2,0.1477939486503601,0.004982317332178354,0.20684199035167694
100,10.0,0.5431122541136532,1e-05,edge_flip,3,0.2,0.02,0.2,0.24900949001312256,0.059365369379520416,0.17201852798461914
100,10.0,0.5431122541136532,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.12180408090353012,0.0183106642216444,0.3217010796070099
100,10.0,0.5431122541136532,1e-05,gaussian,4,0.2,0.02,0.2,0.1942531168460846,0.015712514519691467,0.20380602777004242
100,10.0,0.5431122541136532,1e-05,edge_flip,4,0.2,0.02,0.2,0.19973528385162354,0.0,0.24900949001312256
