N,sigma,epsilon,rep,method,dp_type,delta,flip_prob,n_flipped,frac_flipped,epochs,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
100,0.5,75.26107361311833,16,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,775,0.2,0.02,0.2,0.1926530612244898,0.0212,0.19346938775510203,1.0
100,0.5,75.26107361311833,16,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,775,0.2,0.02,0.2,0.1926530612244898,0.0212,0.19346938775510203,1.0
100,0.5,75.26107361311833,17,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,243,0.2,0.02,0.2,0.19755102040816327,0.0244,0.18857142857142858,1.0
100,0.5,75.26107361311833,17,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,243,0.2,0.02,0.2,0.19755102040816327,0.0244,0.18857142857142858,1.0
100,0.5,75.26107361311833,18,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,247,0.2,0.02,0.2,0.20326530612244897,0.02,0.18775510204081633,1.0
100,0.5,75.26107361311833,18,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,247,0.2,0.02,0.2,0.20326530612244897,0.02,0.18775510204081633,1.0
100,0.5,75.26107361311833,19,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,127,0.2,0.02,0.2,0.18448979591836734,0.0152,0.1926530612244898,1.0
100,0.5,75.26107361311833,19,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,127,0.2,0.02,0.2,0.18448979591836734,0.0152,0.1926530612244898,1.0
100,1.0,27.449962502007253,0,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,245,0.2,0.02,0.2,0.2032653061217377,0.01719999999884274,0.21795918367279335,1.0
100,1.0,27.449962502007253,0,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,245,0.2,0.02,0.2,0.2032653061217377,0.017199999998842756,0.21795918367279335,1.0
100,1.0,27.449962502007253,1,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,237,0.2,0.02,0.2,0.2008163265298951,0.026399999998864793,0.1942857142849815,1.0
100,1.0,27.449962502007253,1,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,237,0.2,0.02,0.2,0.2008163265298951,0.026399999998864807,0.1942857142849815,1.0
100,1.0,27.449962502007253,2,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,294,0.2,0.02,0.2,0.21306122448910814,0.016399999998840824,0.2024489795911235,1.0
100,1.0,27.449962502007253,2,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,294,0.2,0.02,0.2,0.21306122448910814,0.01639999999884084,0.2024489795911235,1.0
100,1.0,27.449962502007253,3,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,654,0.2,0.02,0.2,0.19215686274436017,0.02320928371234254,0.22959183673404573,0.9291252238549075
100,1.0,27.449962502007253,3,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,654,0.2,0.02,0.2,0.19215686274436017,0.023209283712342554,0.22959183673404573,0.9291252238549075
100,1.0,27.449962502007253,4,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,350,0.2,0.02,0.2,0.2057142857135803,0.01879999999884658,0.1893877551012963,1.0
100,1.0,27.449962502007253,4,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,350,0.2,0.02,0.2,0.2057142857135803,0.018799999998846594,0.1893877551012963,1.0
100,1.0,27.449962502007253,5,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,551,0.2,0.02,0.2,0.1902040816319105,0.01879999999884658,0.1951020408155957,1.0
100,1.0,27.449962502007253,5,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,551,0.2,0.02,0.2,0.1902040816319105,0.018799999998846594,0.1951020408155957,1.0
100,1.0,27.449962502007253,6,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,954,0.2,0.02,0.2,0.0694915254226969,0.10916666666572984,0.20641025640955268,0.019622102805851988
100,1.0,27.449962502007253,6,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,954,0.2,0.02,0.2,0.06949152542269692,0.10916666666572986,0.20641025640955268,0.019622102805851988
100,1.0,27.449962502007253,7,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,214,0.2,0.02,0.2,0.1967346938768241,0.01879999999884658,0.21551020408095073,1.0
100,1.0,27.449962502007253,7,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,214,0.2,0.02,0.2,0.1967346938768241,0.018799999998846594,0.21551020408095073,1.0
100,1.0,27.449962502007253,8,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,227,0.2,0.02,0.2,0.1062626262616825,0.0,0.0,0.0
100,1.0,27.449962502007253,8,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,227,0.2,0.02,0.2,0.10626262626168251,0.0,0.0,0.0
100,1.0,27.449962502007253,9,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,456,0.2,0.02,0.2,0.19999999999928092,0.018399999998845618,0.20979591836665132,1.0
100,1.0,27.449962502007253,9,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,456,0.2,0.02,0.2,0.19999999999928092,0.01839999999884563,0.20979591836665132,1.0
100,1.0,27.449962502007253,10,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,171,0.2,0.02,0.2,0.1951020408155957,0.0175999999988437,0.19999999999928092,1.0
100,1.0,27.449962502007253,10,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,171,0.2,0.02,0.2,0.1951020408155957,0.017599999998843714,0.19999999999928092,1.0
