regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,n_fit,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,5000,0.0017034386382832477,0.00017034386382832478,1.0,27.43885139089614,0,edge_flip_vem,,,178,,,1e-05,4961,4.6944,4961,0.9922,39,37,0.0017034386382832477,0.00017034386382832478,0.0017034386382832477,0.0009528130758553743,0.0034274193458259106,0.0,0.0004012738180027612
relatively_sparse,5000,0.0017034386382832477,0.00017034386382832478,1.0,27.43885139089614,0,edge_flip_spectral,,,,,,1e-05,4961,4.6944,4961,0.9922,39,37,0.0017034386382832477,0.00017034386382832478,0.0017034386382832477,0.0017430147854611278,0.00016187572327908128,0.0017490918980911374,0.7934937170740022
relatively_sparse,5000,0.0017034386382832477,0.00017034386382832478,1.0,27.43885139089614,0,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,4961,4.6944,4961,0.9922,39,37,0.0017034386382832477,0.00017034386382832478,0.0017034386382832477,0.1167132630944252,0.0036562015302479267,0.10850021988153458,1.8484095239419254e-05
relatively_sparse,5000,0.0017034386382832477,0.00017034386382832478,2.0,11.728684954707337,0,edge_flip_vem,,,262,,,1e-05,4961,4.6944,4961,0.9922,39,37,0.0017034386382832477,0.00017034386382832478,0.0017034386382832477,0.0009531443356536329,0.0034194153267890215,0.0,0.0004012738180027612
relatively_sparse,5000,0.0017034386382832477,0.00017034386382832478,2.0,11.728684954707337,0,edge_flip_spectral,,,,,,1e-05,4961,4.6944,4961,0.9922,39,37,0.0017034386382832477,0.00017034386382832478,0.0017034386382832477,0.0017470597522333264,0.0001616211811779067,0.0017468708101660013,0.7808503203914579
relatively_sparse,5000,0.0017034386382832477,0.00017034386382832478,2.0,11.728684954707337,0,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,4961,4.6944,4961,0.9922,39,37,0.0017034386382832477,0.00017034386382832478,0.0017034386382832477,0.11666548252105713,0.0036564429756253958,0.10854574292898178,1.3086277347805239e-05
relatively_sparse,5000,0.0017034386382832477,0.00017034386382832478,5.0,4.1484505404580005,0,edge_flip_vem,,,310,,,1e-05,4961,4.6944,4961,0.9922,39,37,0.0017034386382832477,0.00017034386382832478,0.0017034386382832477,0.000947385560721159,0.0,0.0,0.0
relatively_sparse,5000,0.0017034386382832477,0.00017034386382832478,5.0,4.1484505404580005,0,edge_flip_spectral,,,,,,1e-05,4961,4.6944,4961,0.9922,39,37,0.0017034386382832477,0.00017034386382832478,0.0017034386382832477,0.0032583491411060095,0.0,0.0033749109134078026,0.00017371364144139025
relatively_sparse,5000,0.0017034386382832477,0.00017034386382832478,5.0,4.1484505404580005,0,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,4961,4.6944,4961,0.9922,39,37,0.0017034386382832477,0.00017034386382832478,0.0017034386382832477,0.11679843068122864,0.0036565118934959173,0.10839442163705826,1.0763218642688115e-05
relatively_sparse,5000,0.0017034386382832477,0.00017034386382832478,10.0,1.9945956405993723,0,edge_flip_vem,,,516,,,1e-05,4961,4.6944,4961,0.9922,39,37,0.0017034386382832477,0.00017034386382832478,0.0017034386382832477,0.00086195272160694,0.0,0.0,0.0
