N,K,dc_sigma,normalize_weights,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,mean_degree,degree_cv,max_degree,min_degree,weight_mean,weight_cv,lcc_size,lcc_frac,n_components,n_isolated,beta_nominal_00,beta_nominal_01,beta_nominal_11,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
500,2,0.25,True,1.0,27.43885139089614,0,edge_flip_vem,,,234,,,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.19412048161029816,0.019200000911951065,0.20163854956626892,1.0
500,2,0.25,True,1.0,27.43885139089614,0,edge_flip_spectral,,,,,,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.19412048161029816,0.019200000911951065,0.20163854956626892,1.0
500,2,0.25,True,1.0,27.43885139089614,0,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.21722213923931122,0.012014822103083134,0.21634678542613983,0.981182940453905
500,2,0.25,True,2.0,11.728684954707337,0,edge_flip_vem,,,239,,,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.19408342242240906,0.019192250445485115,0.2016337513923645,1.0
500,2,0.25,True,2.0,11.728684954707337,0,edge_flip_spectral,,,,,,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.19408342242240906,0.019192250445485115,0.2016337513923645,1.0
500,2,0.25,True,2.0,11.728684954707337,0,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.2136058211326599,0.01456716749817133,0.21409231424331665,0.9475719741127369
500,2,0.25,True,5.0,4.1484505404580005,0,edge_flip_vem,,,279,,,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.19345852732658386,0.018883584067225456,0.20224575698375702,1.0
500,2,0.25,True,5.0,4.1484505404580005,0,edge_flip_spectral,,,,,,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.19345852732658386,0.018883584067225456,0.20224575698375702,1.0
500,2,0.25,True,5.0,4.1484505404580005,0,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.2067086100578308,0.02349853701889515,0.20659448206424713,0.8608755657311985
500,2,0.25,True,10.0,1.9945956405993723,0,edge_flip_vem,,,589,,,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.21694976091384888,0.14345680177211761,0.0850270465016365,0.0001867051980965573
500,2,0.25,True,10.0,1.9945956405993723,0,edge_flip_spectral,,,,,,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.19494140148162842,0.019951801747083664,0.20284195244312286,1.0
500,2,0.25,True,10.0,1.9945956405993723,0,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.20585405826568604,0.02549211122095585,0.20579880475997925,0.8057004757816506
500,2,0.25,True,20.0,0.977390412892278,0,edge_flip_vem,,,555,,,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.30710363388061523,0.17962755262851715,0.08977659791707993,0.00537365801209311
500,2,0.25,True,20.0,0.977390412892278,0,edge_flip_spectral,,,,,,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.1843537837266922,0.03071855753660202,0.19982777535915375,0.5777389064451675
500,2,0.25,True,20.0,0.977390412892278,0,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,54.072,0.24132525645871206,100,28,1.0,0.18894521440993947,500,1.0,1,0,0.2,0.02,0.2,0.19412048192771084,0.0192,0.20163855421686747,0.18051768839359283,0.07126914709806442,0.18629220128059387,0.40038613443033827
500,2,0.25,True,1.0,27.43885139089614,1,edge_flip_vem,,,245,,,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.20719678699970245,0.019680000841617584,0.1952771097421646,1.0
500,2,0.25,True,1.0,27.43885139089614,1,edge_flip_spectral,,,,,,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.1952771097421646,0.019680000841617584,0.20719678699970245,1.0
500,2,0.25,True,1.0,27.43885139089614,1,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.21534641087055206,0.012478573247790337,0.22154778242111206,0.981182940453905
500,2,0.25,True,2.0,11.728684954707337,1,edge_flip_vem,,,247,,,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.20725633203983307,0.019688257947564125,0.19527219235897064,1.0
500,2,0.25,True,2.0,11.728684954707337,1,edge_flip_spectral,,,,,,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.19527219235897064,0.019688257947564125,0.20725633203983307,1.0
500,2,0.25,True,2.0,11.728684954707337,1,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.21131041646003723,0.01605444960296154,0.21772757172584534,0.981182940453905
500,2,0.25,True,5.0,4.1484505404580005,1,edge_flip_vem,,,217,,,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.20615854859352112,0.020039517432451248,0.19568020105361938,1.0
500,2,0.25,True,5.0,4.1484505404580005,1,edge_flip_spectral,,,,,,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.19568020105361938,0.020039517432451248,0.20615854859352112,1.0
500,2,0.25,True,5.0,4.1484505404580005,1,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.21321642398834229,0.015567567199468613,0.2172202318906784,0.981182940453905
500,2,0.25,True,10.0,1.9945956405993723,1,edge_flip_vem,,,518,,,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.20520974695682526,0.019407592713832855,0.19820956885814667,0.981182940453905
500,2,0.25,True,10.0,1.9945956405993723,1,edge_flip_spectral,,,,,,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.19820956885814667,0.019407592713832855,0.20520974695682526,0.981182940453905
