N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
1222,1.0,27.438806323904522,0,edge_flip_vem,,,292,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15928928554058075,0.022182203829288483,0.002108915476128459,0.000435334001183433
1222,1.0,27.438806323904522,0,edge_flip_spectral,,,,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.02254662662744522,0.00020525451691355556,0.6666666865348816,0.005999041963085236
1222,1.0,27.438806323904522,0,sbm_dpsgd_all_noised,26.32769835700213,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12115296721458435,0.012692626565694809,0.12413327395915985,0.1213321810616342
1222,1.0,27.438806323904522,1,edge_flip_vem,,,277,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15928928554058075,0.022182203829288483,0.002108915476128459,0.000435334001183433
1222,1.0,27.438806323904522,1,edge_flip_spectral,,,,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.02254662662744522,0.00020525451691355556,0.6666666865348816,0.005999041963085236
1222,1.0,27.438806323904522,1,sbm_dpsgd_all_noised,26.32769835700213,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12790347635746002,0.01369538065046072,0.11787039041519165,0.13389236774081006
1222,1.0,27.438806323904522,2,edge_flip_vem,,,261,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15928928554058075,0.022182203829288483,0.002108915476128459,0.000435334001183433
1222,1.0,27.438806323904522,2,edge_flip_spectral,,,,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.02254662662744522,0.00020525451691355556,0.6666666865348816,0.005999041963085236
1222,1.0,27.438806323904522,2,sbm_dpsgd_all_noised,26.32769835700213,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.11842399835586548,0.01027347706258297,0.12936051189899445,0.19041021197907657
1222,1.0,27.438806323904522,3,edge_flip_vem,,,304,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15928928554058075,0.022182203829288483,0.002108915476128459,0.000435334001183433
1222,1.0,27.438806323904522,3,edge_flip_spectral,,,,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.02254662662744522,0.00020525451691355556,0.6666666865348816,0.005999041963085236
1222,1.0,27.438806323904522,3,sbm_dpsgd_all_noised,26.32769835700213,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.13531360030174255,0.010256736539304256,0.1123618632555008,0.00017303702292298495
1222,1.0,27.438806323904522,4,edge_flip_vem,,,252,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15928928554058075,0.022182203829288483,0.002108915476128459,0.000435334001183433
1222,1.0,27.438806323904522,4,edge_flip_spectral,,,,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.02254662662744522,0.00020525451691355556,0.6666666865348816,0.005999041963085236
1222,1.0,27.438806323904522,4,sbm_dpsgd_all_noised,26.32769835700213,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12359235435724258,0.007608950603753328,0.12764349579811096,0.23559643348371684
1222,1.0,27.438806323904522,5,edge_flip_vem,,,355,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15928928554058075,0.022182203829288483,0.002108915476128459,0.000435334001183433
1222,1.0,27.438806323904522,5,edge_flip_spectral,,,,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.02254662662744522,0.00020525451691355556,0.6666666865348816,0.005999041963085236
1222,1.0,27.438806323904522,5,sbm_dpsgd_all_noised,26.32769835700213,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12776273488998413,0.012316087260842323,0.1164642795920372,0.06615890559924932
1222,1.0,27.438806323904522,6,edge_flip_vem,,,300,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.002108915476128459,0.022182203829288483,0.15928928554058075,0.000435334001183433
1222,1.0,27.438806323904522,6,edge_flip_spectral,,,,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.02254662662744522,0.00020525451691355556,0.6666666865348816,0.005999041963085236
1222,1.0,27.438806323904522,6,sbm_dpsgd_all_noised,26.32769835700213,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12065556645393372,0.010135849937796593,0.1268727034330368,0.12559444054256694
1222,1.0,27.438806323904522,7,edge_flip_vem,,,279,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.002108915476128459,0.022182203829288483,0.15928928554058075,0.000435334001183433
1222,1.0,27.438806323904522,7,edge_flip_spectral,,,,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.02254662662744522,0.00020525451691355556,0.6666666865348816,0.005999041963085236
1222,1.0,27.438806323904522,7,sbm_dpsgd_all_noised,26.32769835700213,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.14093460142612457,0.020663807168602943,0.10260223597288132,0.017201884736795375
1222,1.0,27.438806323904522,8,edge_flip_vem,,,261,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.002108915476128459,0.022182203829288483,0.15928928554058075,0.000435334001183433
1222,1.0,27.438806323904522,8,edge_flip_spectral,,,,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.02254662662744522,0.00020525451691355556,0.6666666865348816,0.005999041963085236
