regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,n_fit,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,0,spectral,,,,,,,1e-05,485,3.328,485,0.97,15,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007206436002480761,0.0003479471120389701,0.3333333333333333,0.022439706488874195
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,0,edge_flip_vem,,,,554,,,1e-05,485,3.328,485,0.97,15,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007080173585563898,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,0,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,485,3.328,485,0.97,15,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10913170129060745,0.006114624906331301,0.11872834712266922,0.0008734822094061343
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,1,spectral,,,,,,,1e-05,479,3.588,479,0.958,20,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.013378827332315704,0.0013162513162513162,0.015483603154836031,0.5751478976842598
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,1,edge_flip_vem,,,,213,,,1e-05,479,3.588,479,0.958,20,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.007817891426384449,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,1,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,10.999903914186634,5.999947589556346,4.999956324630288,1e-05,479,3.588,479,0.958,20,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.1008816733956337,0.0065073552541434765,0.13055551052093506,0.004498760674912024
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,2,spectral,,,,,,,1e-05,483,3.54,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.014643832216430876,0.0012519293431658377,0.013348946135831381,0.66439037466286
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,2,edge_flip_vem,,,,403,,,1e-05,483,3.54,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007602897007018328,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,2,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,10.999716502152006,5.999845364810185,4.999871137341821,1e-05,483,3.54,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.13431750237941742,0.006383778993040323,0.10115344822406769,0.001654293574007196
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,3,spectral,,,,,,,1e-05,475,3.36,475,0.95,24,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.012725200781419579,0.0011771950159374094,0.014827098473394137,0.5579741112079813
