N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
100,0.1,1605.2166291686756,15,edge_flip_vem,,,,242,,,1e-05,0.2,0.02,0.2,0.19183672964572906,0.01759999990463257,0.19428572058677673,1.0
100,0.1,1605.2166291686756,15,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.19913829863071442,0.12316980212926865,0.14070065319538116,0.015995526195054188
100,0.1,1605.2166291686756,16,edge_flip_vem,,,,713,,,1e-05,0.2,0.02,0.2,0.19265305995941162,0.021199999377131462,0.19346939027309418,1.0
100,0.1,1605.2166291686756,16,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1501636952161789,0.11789343506097794,0.20116640627384186,0.02517440612296311
100,0.1,1605.2166291686756,17,edge_flip_vem,,,,279,,,1e-05,0.2,0.02,0.2,0.19755102694034576,0.024399999529123306,0.18857142329216003,1.0
100,0.1,1605.2166291686756,17,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1858883500099182,0.0992792397737503,0.17364005744457245,0.09561854227550716
100,0.1,1605.2166291686756,18,edge_flip_vem,,,,286,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.019999999552965164,0.18775510787963867,1.0
100,0.1,1605.2166291686756,18,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1787872016429901,0.05643753707408905,0.2305603176355362,0.4782391721952393
100,0.1,1605.2166291686756,19,edge_flip_vem,,,,222,,,1e-05,0.2,0.02,0.2,0.18448980152606964,0.015200000256299973,0.19265305995941162,1.0
100,0.1,1605.2166291686756,19,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.19835247099399567,0.06006862595677376,0.18218378722667694,0.6349910030198422
100,0.5,75.26107361311833,0,edge_flip_vem,,,,279,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.01720000058412552,0.2179591804742813,1.0
100,0.5,75.26107361311833,0,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1523297280073166,0.12500788271427155,0.18868647515773773,0.01164450506997332
100,0.5,75.26107361311833,1,edge_flip_vem,,,,222,,,1e-05,0.2,0.02,0.2,0.2008163332939148,0.026399999856948853,0.19428572058677673,1.0
100,0.5,75.26107361311833,1,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.14766018092632294,0.12053651362657547,0.1958434283733368,0.05371357387673333
100,0.5,75.26107361311833,2,edge_flip_vem,,,,189,,,1e-05,0.2,0.02,0.2,0.21306122839450836,0.01640000008046627,0.2024489790201187,1.0
100,0.5,75.26107361311833,2,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.22687533497810364,0.038520447909832,0.2156388759613037,0.8585594574581797
100,0.5,75.26107361311833,3,edge_flip_vem,,,,731,,,1e-05,0.2,0.02,0.2,0.1921568661928177,0.023209283128380775,0.22959183156490326,0.9291252238549075
100,0.5,75.26107361311833,3,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.23295745253562927,0.0996851697564125,0.16501761972904205,0.28135366840352244
100,0.5,75.26107361311833,4,edge_flip_vem,,,,294,,,1e-05,0.2,0.02,0.2,0.20571428537368774,0.018799999728798866,0.1893877536058426,1.0
100,0.5,75.26107361311833,4,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.18006128072738647,0.05022004246711731,0.2343679815530777,0.6725550808455241
100,0.5,75.26107361311833,5,edge_flip_vem,,,,477,,,1e-05,0.2,0.02,0.2,0.19020408391952515,0.018799999728798866,0.1951020359992981,1.0
100,0.5,75.26107361311833,5,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.18390358984470367,0.06655160337686539,0.20748941600322723,0.5310044064107192
100,0.5,75.26107361311833,6,edge_flip_vem,,,,906,,,1e-05,0.2,0.02,0.2,0.06949152797460556,0.10916666686534882,0.2064102590084076,0.019622102805851988
100,0.5,75.26107361311833,6,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2198120504617691,0.05961032211780548,0.20750346779823303,0.564205452925309
100,0.5,75.26107361311833,7,edge_flip_vem,,,,193,,,1e-05,0.2,0.02,0.2,0.1967346966266632,0.018799999728798866,0.21551020443439484,1.0
100,0.5,75.26107361311833,7,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1992681324481964,0.08736003935337067,0.198067307472229,0.32091195187981514
100,0.5,75.26107361311833,8,edge_flip_vem,,,,313,,,1e-05,0.2,0.02,0.2,0.10626262426376343,0.0,0.0,0.0
