regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,0,edge_flip_vem,,,,546,,,1e-05,3.436,482,0.964,19,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.020665323361754417,0.006663408130407333,0.002851159969085246
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,0,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.436,482,0.964,19,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10208760201931,0.006401784718036652,0.1280440390110016,0.0005666097487232762
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,1,edge_flip_vem,,,,715,,,1e-05,3.416,489,0.978,11,9,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.019393939524888992,0.006592238321900368,0.0005429505113007086
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,1,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.416,489,0.978,11,9,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10388246923685074,0.005993362981826067,0.12649673223495483,0.005601187280047515
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,2,edge_flip_vem,,,,712,,,1e-05,3.58,483,0.966,17,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.00477326987311244,0.011461740359663963,0.027160493656992912,0.005863795645189283
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,2,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.58,483,0.966,17,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.1293323040008545,0.006179419811815023,0.1006370410323143,0.004647542311117001
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,3,edge_flip_vem,,,,326,,,1e-05,3.452,485,0.97,15,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.006917835678905249,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,3,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.452,485,0.97,15,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10204272717237473,0.006097317207604647,0.127706378698349,0.006136811094267209
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,4,edge_flip_vem,,,,548,,,1e-05,3.476,482,0.964,19,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.06666667014360428,0.019568150863051414,0.006651829928159714,0.007764754393899945
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,4,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.476,482,0.964,19,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.09742098301649094,0.0062097967602312565,0.13476106524467468,0.0005656226958973042
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,5,edge_flip_vem,,,,277,,,1e-05,3.408,478,0.956,23,22,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.036363635212183,0.01635991781949997,0.006386402528733015,0.00023302813364847914
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,5,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.408,478,0.956,23,22,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10645654052495956,0.005957812536507845,0.12068642675876617,0.0013984731232530231
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,6,edge_flip_vem,,,,344,,,1e-05,3.304,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.00898462999612093,0.0018589901737868786,0.00025536262546665967,2.3537408551879442e-05
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,6,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.304,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11528096348047256,0.006035177502781153,0.11373070627450943,0.0007390435571570498
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,7,edge_flip_vem,,,,260,,,1e-05,3.24,474,0.948,25,22,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.006492985878139734,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,7,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.24,474,0.948,25,22,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.13816867768764496,0.00596186239272356,0.09892609715461731,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,8,edge_flip_vem,,,,388,,,1e-05,3.46,473,0.946,28,27,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.006933867931365967,0.0
